seq_id,video_name,video_path,subject_id,type,run,T_raw,T_out,frames_with_people,empty_frames,multi_frames,max_people,total_detections,kept_detections,discarded_detections,discard_ratio,oneperson_skeleton_path
DCM_21_FastWalkData_1_clip,DCM_21_FastWalkData_1_clip.mp4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\Gait-videos-clipped\DCM_21_FastWalkData_1_clip.mp4,21,FastWalkData,1,152,152,152,0,152,2,304,152,152,0.5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\GAVD-HSMR-dcm-oneperson\HSMR-DCM_21_FastWalkData_1_clip.npy
DCM_21_FastWalkData_4_clip,DCM_21_FastWalkData_4_clip.mp4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\Gait-videos-clipped\DCM_21_FastWalkData_4_clip.mp4,21,FastWalkData,4,151,151,151,0,151,2,302,151,151,0.5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\GAVD-HSMR-dcm-oneperson\HSMR-DCM_21_FastWalkData_4_clip.npy
DCM_25_WalkData_1_clip,DCM_25_WalkData_1_clip.mp4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\Gait-videos-clipped\DCM_25_WalkData_1_clip.mp4,25,WalkData,1,261,261,261,0,261,2,522,261,261,0.5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\GAVD-HSMR-dcm-oneperson\HSMR-DCM_25_WalkData_1_clip.npy
DCM_30_FastWalkData_3_clip,DCM_30_FastWalkData_3_clip.mp4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\Gait-videos-clipped\DCM_30_FastWalkData_3_clip.mp4,30,FastWalkData,3,106,106,106,0,106,2,212,106,106,0.5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\GAVD-HSMR-dcm-oneperson\HSMR-DCM_30_FastWalkData_3_clip.npy
DCM_33_WalkData_3_clip,DCM_33_WalkData_3_clip.mp4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\Gait-videos-clipped\DCM_33_WalkData_3_clip.mp4,33,WalkData,3,113,113,113,0,113,2,226,113,113,0.5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\GAVD-HSMR-dcm-oneperson\HSMR-DCM_33_WalkData_3_clip.npy
DCM_36_FastWalkData_1_clip,DCM_36_FastWalkData_1_clip.mp4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\Gait-videos-clipped\DCM_36_FastWalkData_1_clip.mp4,36,FastWalkData,1,119,119,119,0,119,2,238,119,119,0.5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\GAVD-HSMR-dcm-oneperson\HSMR-DCM_36_FastWalkData_1_clip.npy
DCM_36_FastWalkData_2_clip,DCM_36_FastWalkData_2_clip.mp4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\Gait-videos-clipped\DCM_36_FastWalkData_2_clip.mp4,36,FastWalkData,2,110,110,110,0,110,2,220,110,110,0.5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\GAVD-HSMR-dcm-oneperson\HSMR-DCM_36_FastWalkData_2_clip.npy
DCM_36_FastWalkData_5_clip,DCM_36_FastWalkData_5_clip.mp4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\Gait-videos-clipped\DCM_36_FastWalkData_5_clip.mp4,36,FastWalkData,5,116,116,116,0,116,2,232,116,116,0.5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\GAVD-HSMR-dcm-oneperson\HSMR-DCM_36_FastWalkData_5_clip.npy
DCM_38_WalkData_4_clip,DCM_38_WalkData_4_clip.mp4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\Gait-videos-clipped\DCM_38_WalkData_4_clip.mp4,38,WalkData,4,222,222,222,0,222,2,444,222,222,0.5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\GAVD-HSMR-dcm-oneperson\HSMR-DCM_38_WalkData_4_clip.npy
DCM_44_WalkData_2_clip,DCM_44_WalkData_2_clip.mp4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\Gait-videos-clipped\DCM_44_WalkData_2_clip.mp4,44,WalkData,2,123,123,123,0,123,2,246,123,123,0.5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\.\GAVD-HSMR-dcm-oneperson\HSMR-DCM_44_WalkData_2_clip.npy
