seq_id,filename,subject_id,test_type,run,path,exists,ok,ndim,shape0_T,shape1_D,dtype,nan_count,inf_count,min_val,max_val,note
DCM_19_FastWalkData_1_clip,HSMR-DCM_19_FastWalkData_1_clip.npy,19,FastWalkData,1,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_19_FastWalkData_1_clip.npy,True,True,2,109,46,float32,0,0,-3.140655994415283,3.13988995552063,
DCM_19_FastWalkData_2_clip,HSMR-DCM_19_FastWalkData_2_clip.npy,19,FastWalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_19_FastWalkData_2_clip.npy,True,True,2,109,46,float32,0,0,-3.141087055206299,3.1413140296936035,
DCM_19_FastWalkData_3_clip,HSMR-DCM_19_FastWalkData_3_clip.npy,19,FastWalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_19_FastWalkData_3_clip.npy,True,True,2,112,46,float32,0,0,-3.1404571533203125,3.1392085552215576,
DCM_19_FastWalkData_4_clip,HSMR-DCM_19_FastWalkData_4_clip.npy,19,FastWalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_19_FastWalkData_4_clip.npy,True,True,2,113,46,float32,0,0,-3.1414265632629395,3.141105890274048,
DCM_19_FastWalkData_5_clip,HSMR-DCM_19_FastWalkData_5_clip.npy,19,FastWalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_19_FastWalkData_5_clip.npy,True,True,2,116,46,float32,0,0,-3.139554977416992,3.1399452686309814,
DCM_19_WalkData_1_clip,HSMR-DCM_19_WalkData_1_clip.npy,19,WalkData,1,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_19_WalkData_1_clip.npy,True,True,2,209,46,float32,0,0,-3.1399033069610596,3.1415069103240967,
DCM_19_WalkData_2_clip,HSMR-DCM_19_WalkData_2_clip.npy,19,WalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_19_WalkData_2_clip.npy,True,True,2,194,46,float32,0,0,-3.1415910720825195,3.1406426429748535,
DCM_19_WalkData_3_clip,HSMR-DCM_19_WalkData_3_clip.npy,19,WalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_19_WalkData_3_clip.npy,True,True,2,164,46,float32,0,0,-3.137037515640259,3.1400325298309326,
DCM_19_WalkData_4_clip,HSMR-DCM_19_WalkData_4_clip.npy,19,WalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_19_WalkData_4_clip.npy,True,True,2,153,46,float32,0,0,-3.138975143432617,3.1405179500579834,
DCM_19_WalkData_5_clip,HSMR-DCM_19_WalkData_5_clip.npy,19,WalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_19_WalkData_5_clip.npy,True,True,2,141,46,float32,0,0,-3.1406712532043457,3.139930248260498,
